,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER
5688,5,1481.97,296.39,15.97,3.19,24-Dec-17,24-Oct-21,280,1
5702,15,1480.13,98.68,67.88,4.53,18-Aug-20,24-Oct-21,28.8,1
5712,7,1478.94,211.28,38.94,5.56,12-Jul-20,24-Oct-21,67,1
5755,17,1473.48,86.68,65.88,3.88,04-Jul-20,24-Oct-21,28.06,1
5760,8,1472.99,184.12,5.99,0.75,15-Feb-21,24-Oct-21,31.38,1
5869,17,1462.66,86.04,81.86,4.82,31-Aug-20,24-Oct-21,24.65,1
5892,14,1460.55,104.33,60.85,4.35,19-Aug-15,24-Oct-21,161.29,1
5974,13,1452.6,111.74,42.6,3.28,29-Dec-19,24-Oct-21,51.15,1
6035,12,1445.88,120.49,72.88,6.07,05-Mar-20,24-Oct-21,49.83,1
6122,4,1436.5,359.13,2,0.5,20-Nov-18,24-Oct-21,267.25,1
6152,6,1432.95,238.83,32.95,5.49,17-May-21,24-Oct-21,26.67,1
6487,18,1401.03,77.84,59.88,3.33,24-Jul-20,24-Oct-21,25.39,1
6506,8,1399.86,174.98,19.96,2.5,02-Dec-20,24-Oct-21,40.75,1
6644,9,1386.05,154.01,29.95,3.33,08-Apr-21,24-Oct-21,22.11,1
6716,6,1377.96,229.66,20.96,3.49,05-Feb-16,24-Oct-21,348,1
6720,14,1377.61,98.4,47.91,3.42,01-Aug-20,24-Oct-21,32.07,1
6733,4,1376.5,344.13,0,0,10-Dec-14,24-Oct-21,627.5,1
6785,10,1371.45,137.15,25.95,2.6,12-Jul-18,24-Oct-21,120,1
6903,12,1361.93,113.49,39.93,3.33,05-Nov-20,24-Oct-21,29.42,1
7111,2,1344.09,672.05,4.99,2.5,22-Aug-21,24-Oct-21,31.5,1
7206,10,1335.87,133.59,44.87,4.49,27-Nov-15,24-Oct-21,215.8,1
7273,14,1329.08,94.93,40.93,2.92,19-Feb-20,24-Oct-21,43.79,1
7372,11,1320.93,120.08,39.93,3.63,30-Nov-20,24-Oct-21,29.82,1
7465,6,1313.77,218.96,16.97,2.83,27-Mar-19,24-Oct-21,157,1
7687,18,1296.68,72.04,69.88,3.88,08-Nov-20,24-Oct-21,19.44,1
7882,13,1282.94,98.69,30.94,2.38,10-Nov-20,24-Oct-21,26.77,1
7942,12,1277.51,106.46,22.96,1.91,24-Sep-15,24-Oct-21,185.17,1
8118,8,1264.93,158.12,40.93,5.12,10-Aug-18,24-Oct-21,146.38,1
8198,8,1259.07,157.38,16.97,2.12,20-Sep-20,24-Oct-21,49.88,1
8277,3,1253.25,417.75,1,0.33,16-Feb-20,24-Oct-21,205.33,1
8328,3,1250,416.67,0,0,24-Oct-21,24-Oct-21,0,1
8359,7,1247.96,178.28,21.96,3.14,21-May-19,24-Oct-21,126.71,1
8371,9,1246.96,138.55,44.86,4.98,23-Apr-21,24-Oct-21,20.44,1
8392,15,1245.2,83.01,31.94,2.13,04-Aug-20,24-Oct-21,29.73,1
8529,6,1234.98,205.83,11.98,2,08-Aug-20,24-Oct-21,73.67,1
8795,8,1216,152,22.95,2.87,16-Apr-17,24-Oct-21,206.5,1
8912,7,1208.48,172.64,9.98,1.43,13-Jul-20,24-Oct-21,66.86,1
8941,10,1207.05,120.71,24.95,2.5,10-Jan-21,24-Oct-21,28.7,1
8999,6,1203.19,200.53,7.99,1.33,10-Feb-14,24-Oct-21,468.83,1
9067,6,1198.84,199.81,36.94,6.16,10-Feb-19,24-Oct-21,164.5,1
9145,13,1193.14,91.78,29.94,2.3,15-Oct-17,24-Oct-21,113.08,1
9209,6,1188.96,198.16,24.96,4.16,11-Jan-21,24-Oct-21,47.67,1
9365,4,1179.83,294.96,3.83,0.96,25-Jun-21,24-Oct-21,30.25,1
9378,11,1178.44,107.13,30.94,2.81,30-Mar-20,24-Oct-21,52.09,1
9390,8,1177.95,147.24,27.95,3.49,16-Jan-16,24-Oct-21,263.5,1
9392,9,1177.76,130.86,21.96,2.44,20-Dec-20,24-Oct-21,34.22,1
9393,8,1177.76,147.22,20.96,2.62,03-Mar-21,24-Oct-21,29.38,1
9417,5,1175.98,235.2,9.98,2,20-Dec-19,24-Oct-21,134.8,1
9468,3,1172.97,390.99,19.97,6.66,16-Sep-21,24-Oct-21,12.67,1
9525,2,1169.14,584.57,6.99,3.5,04-Sep-20,24-Oct-21,207.5,1
9552,10,1167.64,116.76,31.94,3.19,06-Nov-20,24-Oct-21,35.2,1
9580,11,1166,106,56.9,5.17,22-Aug-19,24-Oct-21,72.18,1
9705,7,1158.13,165.45,40.93,5.85,19-Jan-20,24-Oct-21,92,1
9743,7,1155.97,165.14,16.97,2.42,09-May-19,24-Oct-21,128.43,1
10054,13,1137.39,87.49,61.89,4.76,30-Aug-19,24-Oct-21,60.46,1
10103,14,1134.88,81.06,65.88,4.71,03-Nov-20,24-Oct-21,25.36,1
10138,12,1132.77,94.4,21.97,1.83,25-Sep-18,24-Oct-21,93.75,1
10176,11,1130.88,102.81,35.93,3.27,26-Sep-20,24-Oct-21,35.73,1
10301,14,1123.4,80.24,49.9,3.56,21-Nov-18,24-Oct-21,76.29,1
10335,7,1121.43,160.2,31.08,4.44,12-May-20,24-Oct-21,75.71,1
10436,13,1115.04,85.77,34.94,2.69,21-Feb-21,24-Oct-21,18.85,1
10582,9,1107.34,123.04,32.94,3.66,08-Apr-21,24-Oct-21,22.11,1
10592,9,1106.97,123,15.97,1.77,27-May-21,24-Oct-21,16.67,1
10966,4,1087.21,271.8,24.96,6.24,18-Aug-20,24-Oct-21,108,1
11036,8,1083.97,135.5,16.97,2.12,19-Jun-21,24-Oct-21,15.88,1
11052,8,1082.93,135.37,38.93,4.87,12-Sep-18,24-Oct-21,142.25,1
11334,11,1068.37,97.12,14.97,1.36,09-Sep-19,24-Oct-21,70.55,1
11498,13,1061.03,81.62,40.93,3.15,05-Apr-21,24-Oct-21,15.54,1
11518,5,1060.45,212.09,0,0,03-Sep-21,24-Oct-21,10.2,1
11608,3,1056,352,1,0.33,07-Oct-21,24-Oct-21,5.67,1
11749,4,1049.22,262.31,16.92,4.23,13-Oct-21,24-Oct-21,2.75,1
11969,2,1039.5,519.75,1,0.5,06-Jan-21,24-Oct-21,145.5,1
11970,20,1039.48,51.97,40.82,2.04,19-Nov-20,24-Oct-21,16.95,1
12125,10,1032.7,103.27,0,0,08-Sep-21,24-Oct-21,4.6,1
12143,7,1031.98,147.43,13.98,2,02-Feb-19,24-Oct-21,142.14,1
12201,12,1029.83,85.82,32.93,2.74,14-Mar-21,24-Oct-21,18.67,1
12211,4,1029,257.25,0,0,14-Jun-20,24-Oct-21,124.25,1
12272,10,1026.03,102.6,39.93,3.99,14-May-20,24-Oct-21,52.8,1
12388,3,1020.97,340.32,18.97,6.32,24-Nov-18,24-Oct-21,355,1
12494,10,1017.52,101.75,45.92,4.59,01-May-20,24-Oct-21,54.1,1
12509,2,1016.99,508.5,6.99,3.5,23-Mar-21,24-Oct-21,107.5,1
12584,9,1013.95,112.66,0,0,15-Oct-21,24-Oct-21,1,1
12695,7,1009.43,144.2,9.98,1.43,27-Jul-20,24-Oct-21,64.86,1
12782,8,1005.33,125.67,45.93,5.74,02-Jun-19,24-Oct-21,109.38,1
12853,9,1002.8,111.42,2,0.22,23-Nov-19,24-Oct-21,77.89,1
13146,9,991.74,110.19,32.94,3.66,07-May-18,24-Oct-21,140.67,1
13160,11,991.01,90.09,44.91,4.08,16-May-20,24-Oct-21,47.82,1
13261,4,986.58,246.65,11.98,3,09-May-21,24-Oct-21,42,1
13362,8,982.45,122.81,30.95,3.87,23-Jan-17,24-Oct-21,216.88,1
13540,6,975.37,162.56,14.97,2.5,10-Jun-20,24-Oct-21,83.5,1
13541,12,975.37,81.28,16.97,1.41,10-Mar-20,24-Oct-21,49.42,1
13658,10,970.94,97.09,30.94,3.09,07-May-18,24-Oct-21,126.6,1
13733,11,968.07,88.01,43.92,3.99,18-Jul-19,24-Oct-21,75.36,1
13815,5,964.9,192.98,28.95,5.79,18-Apr-20,24-Oct-21,110.8,1
13947,10,959.91,95.99,50.91,5.09,05-May-20,24-Oct-21,53.7,1
13949,14,959.87,68.56,79.87,5.71,24-May-20,24-Oct-21,37,1
14035,14,957.1,68.36,51.9,3.71,21-Jun-18,24-Oct-21,87.21,1
14372,13,945.7,72.75,51.9,3.99,14-May-20,24-Oct-21,40.62,1
14387,2,945,472.5,0,0,24-Oct-21,24-Oct-21,0,1
14474,13,941.39,72.41,62.89,4.84,13-Jun-20,24-Oct-21,38.31,1
14636,5,935.99,187.2,4.99,1,31-Aug-20,24-Oct-21,83.8,1
14750,5,931.97,186.39,18.97,3.79,12-Jul-18,24-Oct-21,240,1
14844,4,928.77,232.19,14.97,3.74,19-Jan-21,24-Oct-21,69.5,1
14964,5,925,185,0,0,24-Oct-21,24-Oct-21,0,1
15013,10,923.4,92.34,57.4,5.74,13-Jul-21,24-Oct-21,10.3,1
15125,13,919.49,70.73,55.89,4.3,12-Oct-19,24-Oct-21,57.15,1
15323,6,912.74,152.12,12.98,2.16,14-Jan-20,24-Oct-21,108.17,1
15366,4,910.99,227.75,4.99,1.25,25-Nov-18,24-Oct-21,266,1
15413,11,909.75,82.7,49.9,4.54,19-Oct-19,24-Oct-21,66.91,1
15442,10,908.93,90.89,34.93,3.49,28-May-20,24-Oct-21,51.4,1
15511,9,906.41,100.71,50.91,5.66,30-Aug-20,24-Oct-21,46.67,1
15522,9,905.99,100.67,5.99,0.67,24-Sep-20,24-Oct-21,43.89,1
15523,3,905.99,302,3.99,1.33,01-Feb-18,24-Oct-21,453.67,1
15673,11,901.87,81.99,40.92,3.72,27-Jul-20,24-Oct-21,41.27,1
15797,7,898.07,128.3,20.92,2.99,08-Sep-14,24-Oct-21,371.86,1
15849,10,896.09,89.61,28.94,2.89,09-Jan-18,24-Oct-21,138.4,1
15872,8,895.67,111.96,18.97,2.37,20-Jun-19,24-Oct-21,107.13,1
15941,9,893.76,99.31,22.96,2.55,21-Nov-19,24-Oct-21,78.11,1
15961,7,892.97,127.57,14.97,2.14,30-Nov-17,24-Oct-21,203.43,1
15998,3,892.09,297.36,3.99,1.33,07-May-18,24-Oct-21,422,1
16114,14,888.82,63.49,41.92,2.99,25-May-21,24-Oct-21,10.86,1
16136,5,887.99,177.6,5.99,1.2,19-Nov-16,24-Oct-21,360,1
16392,8,880.96,110.12,20.96,2.62,18-Sep-20,24-Oct-21,50.13,1
16470,9,878.58,97.62,34.93,3.88,09-Nov-20,24-Oct-21,38.78,1
16477,7,878.36,125.48,23.96,3.42,13-Feb-19,24-Oct-21,140.57,1
16510,3,877.57,292.52,14.97,4.99,30-Dec-20,24-Oct-21,99.33,1
16569,9,875.8,97.31,29.95,3.33,12-Apr-21,24-Oct-21,21.67,1
16586,11,875.25,79.57,26.95,2.45,26-Oct-20,24-Oct-21,33,1
16598,6,874.96,145.83,23.96,3.99,10-Apr-21,24-Oct-21,32.83,1
16618,5,873.99,174.8,5.99,1.2,05-Jul-19,24-Oct-21,168.4,1
16633,5,873.48,174.7,9.98,2,05-Sep-19,24-Oct-21,156,1
16825,8,867.96,108.5,22.96,2.87,08-Jun-21,24-Oct-21,17.25,1
17038,8,862.42,107.8,46.92,5.87,19-Mar-20,24-Oct-21,73,1
17234,3,856.75,285.58,0,0,13-Jan-20,24-Oct-21,216.67,1
17404,11,851.68,77.43,40.93,3.72,05-Jun-20,24-Oct-21,46,1
17476,4,849.58,212.4,11.98,3,03-Jun-19,24-Oct-21,218.5,1
17477,9,849.54,94.39,26.54,2.95,11-Jul-18,24-Oct-21,133.44,1
17581,6,846.75,141.13,30.95,5.16,10-May-21,24-Oct-21,27.83,1
17638,10,845.37,84.54,39.92,3.99,14-Nov-20,24-Oct-21,34.4,1
17679,6,844.64,140.77,30.94,5.16,29-Jan-21,24-Oct-21,44.67,1
17879,2,838.25,419.13,0,0,19-Sep-17,24-Oct-21,748,1
17955,8,836,104.5,0,0,18-Oct-21,24-Oct-21,0.75,1
18095,4,832.98,208.25,10.98,2.75,09-Nov-19,24-Oct-21,178.75,1
18241,17,829.25,48.78,78.85,4.64,29-Aug-20,24-Oct-21,24.76,1
18397,7,824.97,117.85,16.97,2.42,31-May-20,24-Oct-21,73,1
18504,12,821.78,68.48,63.88,5.32,20-Dec-19,24-Oct-21,56.17,1
18518,13,821.26,63.17,45.91,3.53,04-Jun-20,24-Oct-21,39,1
18531,12,820.99,68.42,29.94,2.5,25-Nov-20,24-Oct-21,27.75,1
18538,6,820.96,136.83,19.96,3.33,06-Aug-18,24-Oct-21,195.83,1
18566,10,819.98,82,9.98,1,03-Dec-20,24-Oct-21,32.5,1
18589,4,819.47,204.87,14.97,3.74,16-Jun-20,24-Oct-21,123.75,1
18701,16,816.88,51.06,35.93,2.25,28-Dec-19,24-Oct-21,41.63,1
18704,9,816.78,90.75,40.93,4.55,22-Apr-19,24-Oct-21,101.78,1
18938,4,810.98,202.75,11.98,3,22-May-21,24-Oct-21,38.75,1
19010,7,809.1,115.59,24.95,3.56,09-May-20,24-Oct-21,76.14,1
19203,4,804.18,201.05,10.98,2.75,05-Apr-21,24-Oct-21,50.5,1
19411,8,799.18,99.9,41.93,5.24,18-Sep-18,24-Oct-21,141.5,1
19464,2,797.99,399,7.99,4,20-Oct-21,24-Oct-21,2,1
19498,3,797.32,265.77,21.97,7.32,04-Sep-21,24-Oct-21,16.67,1
19569,8,795.95,99.49,27.95,3.49,13-Jan-19,24-Oct-21,126.88,1
19612,3,795,265,0,0,24-Oct-21,24-Oct-21,0,1
19721,10,792.08,79.21,37.93,3.79,27-Nov-19,24-Oct-21,69.7,1
19765,3,791,263.67,0,0,24-May-20,24-Oct-21,172.67,1
19786,3,790.5,263.5,0,0,21-Oct-21,24-Oct-21,1,1
19820,6,789.91,131.65,19.96,3.33,14-Mar-21,24-Oct-21,37.33,1
20027,8,784.69,98.09,36.94,4.62,25-Mar-18,24-Oct-21,163.63,1
20096,5,783.21,156.64,19.96,3.99,28-Mar-20,24-Oct-21,115,1
20387,1,776.99,776.99,6.99,6.99,24-Oct-21,24-Oct-21,0,1
20640,4,771.86,192.97,5.61,1.4,22-Oct-19,24-Oct-21,183.25,1
20750,7,769.6,109.94,27.95,3.99,28-Jul-20,24-Oct-21,64.71,1
20975,13,764.39,58.8,59.89,4.61,22-Nov-19,24-Oct-21,54,1
21000,7,763.95,109.14,28.95,4.14,20-Aug-19,24-Oct-21,113.71,1
21178,5,759.98,152,11.98,2.4,10-Dec-17,24-Oct-21,282.8,1
21344,8,756.37,94.55,8.77,1.1,28-Feb-20,24-Oct-21,75.5,1
21526,13,752.97,57.92,16.97,1.31,28-Jan-19,24-Oct-21,76.92,1
21720,5,748.98,149.8,9.98,2,17-Mar-21,24-Oct-21,44.2,1
21981,5,743.93,148.79,15.93,3.19,08-Jan-16,24-Oct-21,423.2,1
22053,8,742.21,92.78,14.01,1.75,27-Nov-19,24-Oct-21,87.13,1
22066,10,741.98,74.2,8.98,0.9,08-Jan-17,24-Oct-21,175,1
22194,8,739.61,92.45,19.36,2.42,14-Jun-21,24-Oct-21,16.5,1
22428,2,734.99,367.5,5.99,3,23-Oct-21,24-Oct-21,0.5,1
22568,4,732.22,183.06,14.97,3.74,03-Oct-20,24-Oct-21,96.5,1
22588,4,731.97,182.99,14.97,3.74,07-Jun-20,24-Oct-21,126,1
22606,9,731.65,81.29,24.95,2.77,15-Oct-20,24-Oct-21,41.56,1
22626,6,731.06,121.84,25.96,4.33,16-Aug-21,24-Oct-21,11.5,1
22862,4,726.49,181.62,5.99,1.5,27-Aug-21,24-Oct-21,14.5,1
23085,15,722.24,48.15,69.89,4.66,17-Dec-18,24-Oct-21,69.47,1
23221,3,719.67,239.89,17.97,5.99,08-Jun-21,24-Oct-21,46,1
23416,6,716,119.33,24.95,4.16,08-Jun-20,24-Oct-21,83.83,1
23480,5,714.96,142.99,21.96,4.39,31-May-15,24-Oct-21,467.6,1
23525,6,713.96,118.99,25.96,4.33,22-Oct-18,24-Oct-21,183,1
23661,9,711.16,79.02,21.96,2.44,01-Feb-20,24-Oct-21,70.11,1
23697,3,710.83,236.94,10.98,3.66,22-Dec-20,24-Oct-21,102,1
23702,6,710.66,118.44,19.96,3.33,22-Nov-18,24-Oct-21,177.83,1
23829,7,708.46,101.21,19.96,2.85,13-May-21,24-Oct-21,23.43,1
23893,8,707.28,88.41,35.93,4.49,04-Oct-20,24-Oct-21,48.13,1
23934,4,706.83,176.71,10.73,2.68,02-Sep-21,24-Oct-21,13,1
24601,7,693.58,99.08,10.98,1.57,07-Nov-17,24-Oct-21,206.71,1
24795,3,690,230,0,0,24-Oct-21,24-Oct-21,0,1
24799,3,690,230,0,0,24-Oct-21,24-Oct-21,0,1
25200,8,683.63,85.45,10.98,1.37,25-Dec-17,24-Oct-21,174.88,1
25204,4,683.53,170.88,10.98,2.75,03-Jul-21,24-Oct-21,28.25,1
25334,5,680.95,136.19,28.95,5.79,19-May-21,24-Oct-21,31.6,1
25391,7,679.96,97.14,20.96,2.99,27-Aug-20,24-Oct-21,60.43,1
25474,7,678.52,96.93,16.97,2.42,22-Nov-18,24-Oct-21,152.43,1
25695,5,674.98,135,12.98,2.6,31-Mar-19,24-Oct-21,187.6,1
